2022-09-08 15:26:52  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:26:29, started = 33.370000, vol = 416672
2022-09-08 15:26:54  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:26:29, started = 33.370000, vol = 416672
2022-09-08 15:26:56  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:26:29, started = 33.370000, vol = 416672
2022-09-08 15:26:59  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:26:29, started = 33.370000, vol = 416672
2022-09-08 15:27:01  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:26:59, started = 33.370000, vol = 416672
2022-09-08 15:27:03  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:26:59, started = 33.370000, vol = 416672
2022-09-08 15:27:05  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:26:59, started = 33.370000, vol = 416672
2022-09-08 15:27:07  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:26:59, started = 33.370000, vol = 416672
2022-09-08 15:27:09  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:26:59, started = 33.370000, vol = 416672
2022-09-08 15:27:11  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:26:59, started = 33.370000, vol = 416672
2022-09-08 15:27:14  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:26:59, started = 33.370000, vol = 416672
2022-09-08 15:27:16  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:26:59, started = 33.370000, vol = 416672
2022-09-08 15:27:18  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:26:59, started = 33.370000, vol = 416672
2022-09-08 15:27:20  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:26:59, started = 33.370000, vol = 416672
2022-09-08 15:27:22  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:26:59, started = 33.370000, vol = 416672
2022-09-08 15:27:24  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:26:59, started = 33.370000, vol = 416672
2022-09-08 15:27:26  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:26:59, started = 33.370000, vol = 416672
2022-09-08 15:27:29  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:26:59, started = 33.370000, vol = 416672
2022-09-08 15:27:31  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:27:29, started = 33.370000, vol = 416672
2022-09-08 15:27:33  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:27:29, started = 33.370000, vol = 416672
2022-09-08 15:27:35  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:27:29, started = 33.370000, vol = 416672
2022-09-08 15:27:37  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:27:29, started = 33.370000, vol = 416672
2022-09-08 15:27:39  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:27:29, started = 33.370000, vol = 416672
2022-09-08 15:27:41  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:27:29, started = 33.370000, vol = 416672
2022-09-08 15:27:44  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:27:29, started = 33.370000, vol = 416672
2022-09-08 15:27:46  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:27:29, started = 33.370000, vol = 416672
2022-09-08 15:27:48  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:27:29, started = 33.370000, vol = 416672
2022-09-08 15:27:50  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:27:29, started = 33.370000, vol = 416672
2022-09-08 15:27:52  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:27:29, started = 33.370000, vol = 416672
2022-09-08 15:27:54  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:27:29, started = 33.370000, vol = 416672
2022-09-08 15:27:57  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:27:29, started = 33.370000, vol = 416672
2022-09-08 15:27:59  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:27:29, started = 33.370000, vol = 416672
2022-09-08 15:28:01  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:27:59, started = 33.370000, vol = 416672
2022-09-08 15:28:03  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:27:59, started = 33.370000, vol = 416672
2022-09-08 15:28:05  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:27:59, started = 33.370000, vol = 416672
2022-09-08 15:28:07  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:27:59, started = 33.370000, vol = 416672
2022-09-08 15:28:10  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:27:59, started = 33.370000, vol = 416672
2022-09-08 15:28:12  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:27:59, started = 33.370000, vol = 416672
2022-09-08 15:28:14  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:27:59, started = 33.370000, vol = 416672
2022-09-08 15:28:16  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:27:59, started = 33.370000, vol = 416672
2022-09-08 15:28:19  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:27:59, started = 33.370000, vol = 416672
2022-09-08 15:28:21  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:27:59, started = 33.370000, vol = 416672
2022-09-08 15:28:23  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:27:59, started = 33.370000, vol = 416672
2022-09-08 15:28:25  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:27:59, started = 33.370000, vol = 416672
2022-09-08 15:28:32  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:28:29, started = 33.370000, vol = 416672
2022-09-08 15:28:35  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:28:29, started = 33.370000, vol = 416672
2022-09-08 15:28:37  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:28:29, started = 33.370000, vol = 416672
2022-09-08 15:28:39  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:28:29, started = 33.370000, vol = 416672
2022-09-08 15:28:41  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:28:29, started = 33.370000, vol = 416672
2022-09-08 15:28:43  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:28:29, started = 33.370000, vol = 416672
2022-09-08 15:28:46  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:28:29, started = 33.370000, vol = 416672
2022-09-08 15:28:48  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:28:29, started = 33.370000, vol = 416672
2022-09-08 15:28:50  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:28:29, started = 33.370000, vol = 416672
2022-09-08 15:28:52  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:28:29, started = 33.370000, vol = 416672
2022-09-08 15:28:54  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:28:29, started = 33.370000, vol = 416672
2022-09-08 15:28:56  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:28:29, started = 33.370000, vol = 416672
2022-09-08 15:28:58  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:28:29, started = 33.370000, vol = 416672
2022-09-08 15:29:01  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:28:59, started = 33.370000, vol = 416672
2022-09-08 15:29:03  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:28:59, started = 33.370000, vol = 416672
2022-09-08 15:29:05  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:28:59, started = 33.370000, vol = 416672
2022-09-08 15:29:07  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:28:59, started = 33.370000, vol = 416672
2022-09-08 15:29:10  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:28:59, started = 33.370000, vol = 416672
